[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 17:34:15
Order : 16
Analyse step ID : 13073

[SAMPLE]
Sample Name : H6-1-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
29	15056.4460648583	342383.210292808	454952.991265571	266227.372657984	213195.149232047	113573.164423501	206146.751005335	103978.564991831	133820.314496154	82028.7723765323	287759.91917263	159134.237150219	222706.203510126	83338.2120547255	18884.4012545474	98114.3410342299	123798.763943114	107583.417162204
30	15032.3268080464	342383.210292808	454707.997732311	266227.372657984	213195.149232047	113512.234614261	206872.619846904	105667.965274097	133820.314496154	82995.2380304532	287345.876123461	158718.471671054	219502.54118585	83054.1967263988	18843.9419053143	97830.8906061491	123798.763943114	107776.218985075
31	15008.2075512344	342261.278950111	454707.997732311	266105.696527884	213073.393007471	113329.445186541	207702.184237267	107437.813188851	133900.832134238	83921.4342821273	287345.876123461	158614.530301263	216918.942537241	82851.3286347369	18823.7122306978	97628.4260146629	123798.763943114	107969.020807947
32	14984.0882944225	342139.347607415	454463.00419905	265984.020397784	213073.393007471	113268.5153773	208635.444176426	109167.437287362	133981.349772322	84887.8999360482	287138.854598876	158614.530301263	214955.407564298	82729.6077797397	18813.5973933895	97506.9472597712	123927.252540875	108226.089905109
33	14953.9392234076	342017.416264718	454463.00419905	265984.020397784	212951.636782896	113085.72594958	209465.00856679	110977.509018361	134142.385048491	85894.6349922158	287138.854598876	158822.413040845	213301.904429188	82689.0341614073	18833.827068006	97547.4401780684	124119.985437518	108547.426276561
34	14941.8795950016	342017.416264718	454218.010665789	265862.344267685	212951.636782896	113024.79614034	210398.268505949	112787.58074936	134383.937962744	86901.3700483833	287138.854598876	159134.237150219	211958.433131911	82648.460543075	18864.1715799309	97628.4260146629	124376.96263304	108868.762648013
35	14929.8199665956	341895.484922021	454218.010665789	265740.668137585	212829.88055832	112963.8663311	211435.223993903	114597.652480359	134625.490876997	87867.8357023041	287345.876123461	159550.002629383	211131.681564356	82689.0341614073	18884.4012545474	97668.9189329601	124633.939828563	109254.366293756
36	14899.6708955807	341773.553579324	453973.017132528	265862.344267685	212708.124333744	112842.00671262	212368.483933062	116447.948027602	134867.04379125	88874.5707584717	287345.876123461	159965.768108548	210614.961834634	82770.1813980721	18924.8606037805	97790.3976878519	124890.917024086	109575.702665208
37	14881.5814529717	341651.622236627	453973.017132528	265740.668137585	212829.88055832	112720.14709414	213405.439421016	118258.019758601	135269.631981672	89841.0364123926	287552.897648046	160693.357697086	210408.273942746	82891.9022530693	18985.5496276301	97952.3693610409	125212.138518489	110025.573585241
38	14863.4920103628	341529.69089393	453728.023599267	265618.992007485	212586.368109169	112659.2172849	214442.394908971	119987.643857111	135591.702534009	90807.5020663134	287759.91917263	161213.064546041	210304.929996801	83013.6231080664	19036.1238141715	98114.3410342299	125469.115714012	110346.909956693
39	14839.3727535508	341529.69089393	453728.023599267	265497.315877386	212708.124333744	112476.427857179	215375.65484813	121797.71558811	135994.290724431	91773.9677202343	288173.962221799	161940.654134579	210408.273942746	83135.3439630636	19106.9276753294	98316.8056257161	125790.337208416	110861.048151017
40	14821.2833109419	341407.759551233	453728.023599267	265497.315877386	212586.368109169	112415.498047939	216412.610336084	123527.33968662	136396.878914852	92700.1639719084	288380.983746384	162668.243723117	210614.961834634	83297.6384363932	19177.7315364874	98519.2702172023	126111.558702819	111246.651796759
41	14797.1640541299	341285.828208536	453483.030066006	265497.315877386	212586.368109169	112354.568238699	217449.565824038	125216.739968886	136718.94946719	93626.3602235826	288795.026795553	163395.833311655	211131.681564356	83459.9329097227	19228.3057230287	98721.7348086886	126497.024496104	111696.522716793
42	14791.1342399269	341285.828208536	453483.030066006	265375.639747286	212586.368109169	112232.708620219	218486.521311993	126986.587883641	137202.055295696	94552.5564752567	289002.048320138	164123.422900193	211648.401294078	83622.2273830523	19278.8799095701	98964.692318472	126818.245990507	112146.393636826
43	14773.044797318	341163.89686584	453238.036532745	265375.639747286	212464.611884593	112171.778810979	219523.476799947	128635.764349662	137604.643486117	95478.7527269309	289416.091369307	165058.895228313	212371.808915689	83825.0954747142	19349.683770728	99167.1569099583	127203.711783791	112531.997282568
44	14754.955354709	341041.965523143	453238.036532745	265375.639747286	212464.611884593	112110.849001739	220560.432287902	130325.164631928	138007.231676539	96364.6795763583	289416.091369307	165786.484816851	213198.560483244	84027.9635663761	19410.3727945777	99450.607338039	127524.933278195	112981.868202601
45	14742.895726303	340920.034180446	453483.030066006	265132.287487087	212342.855660017	111928.059574019	221493.692227061	131934.117281705	138409.819866961	97250.6064257858	290037.155943061	166721.957144971	214128.655996743	84230.8316580381	19481.1766557356	99653.0719295252	127910.399071479	113431.739122635
46	14730.8360978971	340920.034180446	453238.036532745	265132.287487087	212221.099435442	111867.129764779	222634.343263811	133546.679590262	138892.925695466	98136.5332752132	290244.177467646	167553.4881033	215058.751510242	84433.6997497	19541.8656795852	99896.0294393087	128295.864864763	113817.342768377
47	14712.7466552881	340920.034180446	452993.042999484	265132.287487087	212221.099435442	111806.199955539	223567.603202969	135075.225922921	139376.031523972	98982.1907223939	290658.220516815	168488.96043142	216092.190969686	84677.1414596944	19612.6695407431	100138.986949092	128617.086359167	114267.21368841
48	14712.7466552881	340676.171495052	452993.042999484	265132.287487087	212221.099435442	111745.270146299	224604.558690924	136684.222062563	139778.619714394	99787.578767328	291072.263565984	169424.432759541	217125.63042913	84880.0095513563	19683.4734019011	100381.944458876	129002.552152451	114652.817334153
49	14694.6572126791	340554.240152355	452993.042999484	265010.611356987	212221.099435442	111745.270146299	225641.514178878	138212.768395223	140261.7255429	100633.236214509	291279.285090569	170255.96371787	218365.757780462	85082.8776430182	19723.9327511341	100624.901968659	129388.017945735	115102.688254186
50	14676.5677700702	340432.308809658	452748.049466223	264888.935226888	212099.343210866	111501.550909338	226574.774118037	139660.8649209	140744.831371406	101438.624259443	291693.328139738	171191.43604599	219502.54118585	85326.3193530126	19804.8514496003	100867.859478443	129709.239440139	115488.291899929
51	14658.4783274612	340432.308809658	452748.049466223	264767.259096788	212099.343210866	111501.550909338	227715.425154787	141108.961446578	141227.937199912	102203.74290213	292107.371188907	172022.967004319	220742.668537183	85529.1874446745	19875.6553107583	101110.816988226	130094.705233423	115873.895545671
