[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 06:27:45
Order : 59
Analyse step ID : 13155

[SAMPLE]
Sample Name : T29-2

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
29	12475.6855859799	396836.006761656	540455.734373641	304190.325249067	239859.762414125	125820.056080756	171097.655512477	94284.6252769255	123353.021545191	76350.7866597473	255050.518288259	129822.77086912	176304.771781102	77292.7429231997	13988.8199973428	89165.4060905382	119430.151619226	104241.518899101
30	12445.536514965	396592.100180979	540210.74084038	304190.325249067	239738.006189549	125637.266653036	172134.611000431	96134.9208241689	123594.574459444	77357.5217159149	254843.496763675	129718.829499329	173617.829186548	77089.8748315378	13948.3606481097	89003.4344173492	119622.884515868	104562.855270553
31	12409.3576297471	396592.100180979	539965.747307119	303825.296858768	239494.493740398	125515.407034556	173171.566488385	98025.4401876567	123836.127373697	78404.5261743291	254636.47523909	129718.829499329	171447.606321717	77049.3012132054	13948.3606481097	89003.4344173492	119944.106010272	104948.458916296
32	12385.2383729351	396104.287019625	539720.753773858	303703.620728669	239494.493740398	125332.617606835	174312.217525135	99956.183367389	124158.197926034	79451.5306327434	254636.47523909	129926.712238911	169690.759240662	76968.1539765406	13948.3606481097	89084.4202539437	120329.571803556	105398.329836329
33	12361.1191161232	396104.287019625	539475.760240597	303581.944598569	239372.737515822	125149.828179115	175452.868561885	101886.926547121	124560.786116456	80498.5350911577	254636.47523909	130238.536348285	168243.943997441	77008.727594873	13948.3606481097	89165.4060905382	120650.79329796	105848.200756362
34	12336.9998593112	395616.473858271	538985.773174075	303460.268468469	239250.981291246	124906.108942155	176593.519598635	103817.669726853	124882.856668793	81545.5395495719	254843.496763675	130758.24319724	167313.848483942	77049.3012132054	13978.7051600346	89286.88484543	121036.259091244	106298.071676395
35	12300.8209740933	395616.473858271	538985.773174075	303338.59233837	239129.225066671	124784.249323675	177837.86618418	105748.412906586	125365.962497299	82592.5440079862	254843.496763675	131277.950046196	166487.096916387	77171.0220682025	14009.0496719594	89489.3494369162	121485.969183409	106812.209870719
36	12282.7315314844	395372.567277594	538985.773174075	303216.91620827	239007.468842095	124662.389705195	178874.821672135	107679.156086318	125849.068325805	83679.8178686471	255257.539812844	131901.598264943	166073.721132609	77292.7429231997	14049.5090211925	89732.3069466997	121871.434976693	107262.080790752
37	12264.6420888754	395372.567277594	538740.779640814	302973.563948071	238885.712617519	124479.600277474	180119.16825768	109609.89926605	126332.174154311	84686.5529248147	255464.561337429	132629.187853481	165763.689294776	77536.184633194	14089.9683704256	89934.7715381859	122321.145068858	107776.218985075
38	12234.4930178605	395128.660696917	538495.786107553	302973.563948071	238763.956392944	124296.810849754	181363.514843225	111500.418629538	126734.762344733	85693.2879809822	255878.604386598	133356.777442019	165557.001402887	77657.9054881912	14170.8870688918	90177.7290479694	122770.855161023	108354.624453689
