[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 03:11:58
Order : 37
Analyse step ID : 13133

[SAMPLE]
Sample Name : T23-1-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
33	12415.3874439501	390738.342244729	530900.986576464	299931.66069558	236328.83190143	124479.600277474	169749.613378136	97623.2020252125	123353.021545191	78162.9097608489	250931.440029381	125304.14391481	162663.370916445	75588.6509532394	13563.9968303953	88112.5902148098	121935.679275574	106812.209870719
34	12379.2085587322	390738.342244729	530410.999509942	299688.308435381	236207.075676854	124296.810849754	170993.959963681	99634.3928374336	123836.127373697	79290.4530237566	251034.95960035	125771.890615446	161526.587511057	75669.7981899042	13594.3413423201	88274.5618879988	122385.389367739	107326.348065042
35	12355.0893019202	390494.435664051	530410.999509942	299688.308435381	235963.563227703	124114.021422034	172238.306549226	101685.807465899	124238.715564119	80377.7268844175	251138.479171319	126395.552882961	160493.148051613	75750.9454265689	13624.685854245	88517.5193977823	122770.855161023	107776.218985075
36	12324.9402309053	390250.529083374	530166.005976681	299444.956175182	235963.563227703	123870.302185074	173482.653134772	103656.774461876	124721.821392625	81505.2701473252	251449.037884227	127071.187006101	160183.11621378	75913.2398998985	13665.1452034781	88719.9839892685	123220.565253188	108354.624453689
37	12300.8209740933	390006.622502697	529676.018910159	299201.603914983	235963.563227703	123687.512757353	174726.999720317	105667.965274097	125204.927221131	82552.2746057395	251656.077026165	127798.792984869	159873.084375947	76116.1079915604	13725.8342273277	88962.941499052	123670.275345353	108804.495373723
38	12288.7613456873	389762.71592202	529676.018910159	299201.603914983	235841.807003127	123504.723329633	176075.041854658	107638.932270074	125688.033049637	83639.5484664004	252070.155310042	128578.370819262	159873.084375947	76278.40246489	13776.4084138691	89205.8990088355	124184.229736398	109382.900842337
39	12258.6122746724	389518.809341343	529676.018910159	299079.927784883	235598.294553975	123321.933901913	177215.692891408	109569.675449806	126251.656516227	84726.8223270614	252277.194451981	129461.892364907	159873.084375947	76521.8441748843	13837.0974377187	89489.3494369162	124633.939828563	109897.03903666
40	12228.4632036575	389274.902760666	529186.031843637	298836.575524684	235598.294553975	123139.144474193	178460.039476953	111500.418629538	126815.279982817	85773.8267854756	252691.272735857	130293.442054927	160079.772267835	76765.2858848786	13897.7864615684	89813.2927832942	125147.894219609	110411.177230984
41	12210.3737610485	389274.902760666	529186.031843637	298714.899394584	235476.5383294	123017.284855713	179704.386062498	113431.16180927	127298.385811323	86780.5618416432	253105.351019734	131280.907311825	160493.148051613	77049.3012132054	13968.5903227263	90096.7432113749	125661.848610654	110989.582699598
42	12198.3141326425	389030.996179989	528696.044777115	298593.223264484	235233.025880248	122834.495427992	181052.428196839	115281.457356514	127862.009277914	87787.2968978108	253415.909732642	132164.428857471	161009.867781335	77292.7429231997	14039.3941838842	90420.6865577529	126111.558702819	111503.720893921
