[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 00:58:28
Order : 22
Analyse step ID : 13118

[SAMPLE]
Sample Name : T18-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
41	12180.2246900336	379274.732952904	516936.35518059	291170.979328407	229632.239549766	119666.145347508	192355.243015542	117976.45304489	130921.679525118	89156.4565741986	264159.465369983	141983.911134682	171757.63815955	79199.702984822	15101.452101253	93822.0916947217	125083.649920728	110282.642682403
42	12150.0756190186	379274.732952904	516691.361647329	290927.627068208	229510.483325191	119422.426110548	193495.894052292	119786.524775889	131404.785353624	90122.9222281195	264366.486894568	142815.442093011	172171.013943327	79443.1446948163	15172.2559624109	94105.5421228024	125533.360012893	110732.513602436
43	12144.0458048157	379030.826372227	516446.368114068	290927.627068208	229388.727100615	119300.566492068	194636.545089042	121516.148874399	131887.89118213	91089.3878820403	264780.529943737	143750.914421132	172791.077618993	79646.0127864782	15232.9449862605	94308.0067142886	125918.825806177	111310.91907105
44	12119.9265480037	379030.826372227	516446.368114068	290684.274808009	229388.727100615	119239.636682828	195880.891674587	123285.996789154	132451.51464872	92055.8535359612	265194.572992906	144686.386749252	173411.14129466	79930.0281148049	15293.6340101102	94591.4571423693	126368.535898342	111760.789991083
45	12101.8371053948	378786.91979155	516201.374580807	290684.274808009	229266.970876039	119056.847255108	197021.542711337	125015.620887664	132934.620477226	92982.0497876353	265608.616042075	145621.859077372	174134.54891627	80173.4698247992	15364.4378712681	94834.4146521528	126754.001691626	112210.660911116
46	12077.7178485828	378543.013210873	515956.381047546	290684.274808009	229145.214651463	118995.917445868	198058.498199291	126705.02116993	133417.726305732	93908.2460393095	266022.659091245	146557.331405492	174961.300483825	80416.9115347936	15435.241732426	95117.8650802336	127139.467484911	112724.79910544
47	12077.7178485828	378543.013210873	515956.381047546	290684.274808009	229145.214651463	118813.128018147	199302.844784836	128394.421452195	133981.349772322	94834.4422909836	266436.702140414	147492.803733612	175788.05205138	80660.3532447879	15485.8159189674	95360.8225900171	127524.933278195	113174.670025473
48	12065.6582201768	378299.106630196	515711.387514285	290440.922547809	229145.214651463	118813.128018147	200547.191370382	130043.597918217	134464.455600828	95760.6385426578	266850.745189583	148532.217431524	176718.14756488	80903.7949547822	15566.7346174336	95644.2730180978	127974.64337036	113688.808219796
49	12053.5985917709	378055.200049519	515711.387514285	290319.24641771	228901.702202312	118630.338590427	201584.146858336	131652.550567994	134947.561429334	96646.5653920852	267264.788238752	149467.689759644	177648.243078379	81187.810283109	15637.5384785915	95887.2305278813	128424.353462525	114138.679139829
50	12029.4793349589	377811.293468842	515466.393981024	290197.57028761	228901.702202312	118508.478971947	202724.797895086	133224.880362333	135430.66725784	97492.222839266	267678.831287921	150507.103457555	178681.682537823	81431.2519931033	15698.2275024411	96130.1880376647	128874.06355469	114652.817334153
51	12023.4495207559	377811.293468842	515221.400447763	290197.57028761	228779.945977736	118447.549162707	203969.144480631	134833.876501975	135994.290724431	98378.1496886934	268092.874337091	151442.575785675	179715.121997266	81674.6937030976	15738.6868516742	96454.1313840427	129195.285049093	115038.420979896
