[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 17:43:07
Order : 17
Analyse step ID : 13074

[SAMPLE]
Sample Name : H6-1-2

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
29	15189.1019773241	341895.484922021	454218.010665789	265862.344267685	213195.149232047	113695.024041981	205109.795517381	102409.836158299	133256.691029563	81062.3067226115	290451.19899223	157263.292493978	219915.916969628	83257.0648180608	18955.2051157053	97830.8906061491	123541.786747591	107390.615339333
30	15152.9230921061	341773.553579324	454218.010665789	265740.668137585	213195.149232047	113573.164423501	205939.359907745	104099.236440564	133176.173391479	82028.7723765323	290037.155943061	156951.468384605	216608.910699408	82973.0494897341	18904.630929164	97547.4401780684	123541.786747591	107519.149887914
31	15134.8336494972	341651.622236627	454218.010665789	265740.668137585	212951.636782896	113512.234614261	206768.924298108	105828.860539075	133256.691029563	82995.2380304532	289830.134418476	156847.527014814	213921.968104854	82770.1813980721	18884.4012545474	97344.9755865822	123606.031046472	107776.218985075
32	15116.7442068882	341529.69089393	453973.017132528	265618.992007485	212829.88055832	113329.445186541	207702.184237267	107638.932270074	133337.208667648	84001.9730866207	289830.134418476	156847.527014814	211855.089185967	82607.8869247426	18884.4012545474	97263.9897499877	123734.519644233	108033.288082237
33	15086.5951358733	341407.759551233	453973.017132528	265618.992007485	212951.636782896	113268.5153773	208531.748627631	109489.227817317	133498.243943816	85008.7081427883	289830.134418476	156951.468384605	210201.586050857	82607.8869247426	18884.4012545474	97263.9897499877	123863.008241995	108354.624453689
34	15062.4758790613	341407.759551233	453973.017132528	265497.315877386	212829.88055832	113146.65575882	209568.704115585	111259.075732072	133739.796858069	86015.4431989559	289830.134418476	157263.292493978	209064.802645469	82567.3133064102	18914.7457664722	97304.4826682849	124119.985437518	108675.960825142
35	15038.3566222494	341285.828208536	453728.023599267	265497.315877386	212829.88055832	113024.79614034	210501.964054744	113149.595095559	133981.349772322	86981.9088528767	289830.134418476	157679.057973143	208134.707131969	82567.3133064102	18945.0902783971	97385.4685048794	124376.96263304	109061.564470884
36	15020.2671796404	341163.89686584	453483.030066006	265497.315877386	212708.124333744	112902.93652186	211538.919542698	114959.666826558	134303.42032466	87988.6439090443	289830.134418476	158198.764822099	207721.331348192	82689.0341614073	18975.4347903219	97547.4401780684	124633.939828563	109447.168116627
37	14996.1479228285	341041.965523143	453483.030066006	265375.639747286	212586.368109169	112781.07690338	212575.875030653	116809.962373802	134625.490876997	88995.3789652118	290244.177467646	158822.413040845	207411.299510359	82810.7550164045	19026.0089768632	97668.9189329601	124955.161322967	109832.77176237
38	14972.0286660165	340920.034180446	453238.036532745	265375.639747286	212586.368109169	112659.2172849	213509.134969812	118579.810288556	134947.561429334	89961.8446191327	290244.177467646	159342.119889801	207204.61161847	82932.4758714017	19096.8128380212	97871.3835244464	125276.38281737	110282.642682403
39	14959.9690376106	340798.102837749	453238.036532745	265253.963617187	212464.611884593	112659.2172849	214546.090457766	120389.882019555	135350.149619756	90928.3102730535	290451.19899223	160173.65084813	207307.955564414	83013.6231080664	19147.3870245625	98073.8481159326	125661.848610654	110668.246328145
40	14935.8497807986	340676.171495052	452993.042999484	265132.287487087	212586.368109169	112476.427857179	215583.045945721	122199.953750554	135752.737810178	91894.7759269744	290865.2420414	160901.240436668	207617.987402247	83216.4911997284	19187.8463737956	98235.8197891216	125983.070105058	111118.117248179
41	14917.7603381896	340676.171495052	452993.042999484	265132.287487087	212464.611884593	112415.498047939	216620.001433675	123929.577849065	136155.326000599	92861.2415808952	291072.263565984	161628.830025206	208031.363186025	83378.7856730579	19248.5353976453	98478.7772989051	126368.535898342	111567.988168212
42	14905.7007097837	340676.171495052	452993.042999484	265010.611356987	212464.611884593	112354.568238699	217656.956921629	125659.201947575	136557.914191021	93787.4378325694	291279.285090569	162460.360983535	208754.770807636	83541.0801463875	19329.4540961115	98721.7348086886	126689.757392746	111953.591813954
43	14887.6112671747	340554.240152355	452993.042999484	265010.611356987	212342.855660017	112232.708620219	218797.607958379	127388.826046085	137041.020019527	94713.6340842435	291693.328139738	163291.891941864	209478.178429246	83784.5218563818	19380.0282826528	98924.1994001748	127075.22318603	112403.462733987
44	14875.5516387687	340432.308809658	452748.049466223	265010.611356987	212342.855660017	112171.778810979	219834.563446334	129078.226328351	137443.608209949	95639.8303359177	292107.371188907	164227.364269984	210098.242104912	83946.8163297114	19440.7173065025	99207.6498282555	127396.444680433	112853.33365402
45	14857.4621961598	340432.308809658	452748.049466223	264767.259096788	212221.099435442	112049.919192499	220871.518934288	130767.626610616	137926.714038455	96525.7571853451	292314.392713492	165058.895228313	211131.681564356	84149.6844213733	19521.6360049687	99410.1144197418	127717.666174837	113303.204574054
46	14839.3727535508	340310.377466961	452503.055932962	264767.259096788	212221.099435442	111988.989383259	221908.474422242	132339.932485531	138409.819866961	97411.6840347726	292728.435762661	165994.367556433	212061.777077856	84352.5525130352	19602.5547034349	99653.0719295252	128167.376267002	113753.075494087
47	14821.2833109419	340188.446124265	452748.049466223	264767.259096788	212099.343210866	111867.129764779	223049.125458992	133948.928625172	138812.408057382	98297.6108842	293142.478811831	166825.898514762	213095.216537299	84595.9942230296	19663.2437272845	99936.522357606	128552.842060286	114138.679139829
48	14815.2534967389	340188.446124265	452503.055932962	264767.259096788	212099.343210866	111684.340337058	224086.080946947	135557.924764814	139295.513885888	99102.9989291341	293556.521861	167761.370842882	214335.343888632	84798.8623146915	19744.1624257507	100179.479867389	128874.06355469	114588.550059862
49	14791.1342399269	340066.514781568	452503.055932962	264645.582966688	212099.343210866	111684.340337058	225123.036434901	137086.471097474	139778.619714394	99948.6563763148	293763.543385584	168696.843171003	215472.12729402	85042.3040246859	19825.0811242169	100422.437377173	129195.285049093	114974.153705605
50	14785.1044257239	339944.583438871	452258.062399701	264523.906836589	211977.58698629	111684.340337058	226056.29637406	138534.567623151	140261.7255429	100794.313823496	294177.586434754	169528.374129332	216608.910699408	85245.1721163478	19875.6553107583	100665.394886956	129644.995141258	115424.024625638
51	14767.014983115	339944.583438871	452258.062399701	264523.906836589	211977.58698629	111562.480718578	227093.251862014	140063.113955811	140664.313733322	101559.432466183	294591.629483923	170567.787827243	217849.038050741	85488.6138263421	19946.4591719162	100908.35239674	130030.460934542	115809.628271381
52	14760.985168912	339822.652096174	452258.062399701	264402.230706489	211855.830761714	111501.550909338	228130.207349969	141511.210481488	141147.419561828	102364.820511117	295005.672533092	171399.318785572	219089.165402073	85691.4819180041	20017.2630330741	101191.802824821	130351.682428946	116195.231917124
53	14748.925540506	339700.720753477	452013.06886644	264523.906836589	211855.830761714	111379.691290858	229167.162837923	142959.307007166	141630.525390334	103129.939153804	295419.715582261	172334.791113692	220432.63669935	85894.350009666	20088.066894232	101394.267416307	130737.14822223	116645.102837157
54	14736.8659121	339700.720753477	452013.06886644	264402.230706489	211734.074537139	111257.831672378	230204.118325878	144326.953725861	142033.113580755	103895.057796492	295626.737106846	173270.263441812	221776.107996627	86137.7917196603	20138.6410807734	101637.22492609	131058.369716633	117030.706482899
55	14724.8062836941	339578.78941078	452013.06886644	264280.55457639	211734.074537139	111257.831672378	231137.378265037	145694.600444557	142516.219409261	104660.176439179	296247.8016806	174205.735769932	223119.579293904	86340.6598113223	20219.5597792396	101880.182435874	131443.835509918	117416.310128642
56	14718.7764694911	339578.78941078	451768.075333179	264280.55457639	211734.074537139	111196.901863138	232174.333752991	147062.247163252	142999.325237767	105385.02567962	296661.844729769	175141.208098053	224463.05059118	86543.5279029842	20280.2488030892	102163.632863955	131765.057004321	117801.913774385
57	14706.7168410851	339334.926725387	451768.075333179	264158.87844629	211612.318312563	111135.972053898	233107.59369215	148429.893881948	143482.431066273	106109.87492006	296868.866254354	176076.680426173	225909.865834402	86746.3959946462	20330.8229896306	102366.097455441	132150.522797605	118123.250145837
58	14712.7466552881	339334.926725387	451768.075333179	264037.20231619	211612.318312563	111014.112435418	234144.549180104	149717.090793661	143965.536894779	106794.454758254	297282.909303523	177012.152754293	227253.337131679	86989.8377046405	20401.6268507885	102609.054965224	132471.744292009	118573.12106587
59	14700.6870268821	339334.926725387	451768.075333179	264037.20231619	211612.318312563	110892.252816938	235077.809119263	151004.287705374	144448.642723285	107479.034596448	297696.952352692	177947.625082413	228700.1523749	87233.2794146348	20492.660386563	102852.012475008	132792.965786412	118894.457437322
