[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 20:05:32
Order : 33
Analyse step ID : 13090

[SAMPLE]
Sample Name : H8-3

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
29	15822.2324686377	340432.308809658	453483.030066006	265253.963617187	213316.905456623	112842.00671262	233314.984789741	114399.625528526	141711.043028418	88069.1827135377	319848.255483247	180546.159327191	247818.782374609	87882.457307953	21241.1583473752	103600.78347749	128745.574956928	112017.859088245
30	15804.1430260287	340310.377466961	453238.036532745	265253.963617187	213316.905456623	112659.2172849	233937.158082513	116008.621668167	141630.525390334	88955.1095629651	319434.212434078	180130.393848027	244408.432158445	87598.4419796263	21200.6989981421	103196.724259559	128681.330658047	112082.126362535
31	15780.0237692168	340188.446124265	453238.036532745	265132.287487087	213195.149232047	112598.28747566	234663.026924082	117617.617807809	141550.007752249	89841.0364123926	319227.190909493	179818.569738653	241411.457726058	87395.5738879644	21190.5841608339	103035.100572387	128681.330658047	112274.928185407
32	15749.8746982018	340066.514781568	452993.042999484	265132.287487087	213195.149232047	112537.35766642	235388.89576565	119226.613947451	141711.043028418	90726.96326182	319020.169384909	179610.686999071	239034.546969337	87233.2794146348	21160.239648909	102873.476885215	128745.574956928	112467.730008278
33	15731.7852555929	340066.514781568	452993.042999484	265010.611356987	213073.393007471	112354.568238699	236218.460156013	120996.509701057	141711.043028418	91653.1595134942	319020.169384909	179818.569738653	237071.011996394	87111.5585596377	21140.0099742925	102792.665041628	128874.06355469	112724.79910544
34	15713.6958129839	339944.583438871	452993.042999484	265010.611356987	213073.393007471	112293.638429459	236840.633448786	122605.505840698	141952.595942671	92539.0863629216	319020.169384909	179922.511108445	235624.196753173	87070.9849413053	21190.5841608339	102711.853198042	129002.552152451	113046.135476892
35	15689.576556172	339822.652096174	452993.042999484	265010.611356987	212951.636782896	112171.778810979	237773.893387945	124294.951787322	142113.63121884	93505.5520168425	319020.169384909	180130.393848027	234487.413347785	87070.9849413053	21220.9286727587	102792.665041628	129195.285049093	113303.204574054
36	15671.487113563	339822.652096174	452748.049466223	264888.935226888	212951.636782896	112049.919192499	238707.153327104	126064.847540928	142355.184133093	94391.4788662699	319020.169384909	180546.159327191	233660.66178023	87111.5585596377	21241.1583473752	102873.476885215	129388.017945735	113688.808219796
37	15641.3380425481	339822.652096174	452748.049466223	264888.935226888	212829.88055832	111928.059574019	239536.717717467	127754.293487552	142677.25468543	95317.675117944	319227.190909493	180857.983436565	233143.942050508	87192.7057963024	21271.5028593001	102954.288728801	129709.239440139	114010.144591248
38	15623.2485999391	339700.720753477	452503.055932962	264767.259096788	212829.88055832	111988.989383259	240469.977656626	129443.739434175	142918.807599683	96203.6019673715	319227.190909493	181481.631655312	232833.910212675	87273.8530329672	21342.306720458	103035.100572387	129966.216635662	114395.748236991
39	15611.1889715331	339700.720753477	452503.055932962	264645.582966688	212829.88055832	111867.129764779	241403.237595785	131052.735573817	143240.87815202	97089.528816799	319641.233958663	182001.338504267	232730.56626673	87395.5738879644	21423.2254189242	103277.536103145	130223.193831184	114717.084608443
40	15593.0995289242	339456.858068083	452503.055932962	264767.259096788	212708.124333744	111806.199955539	242336.497534944	132742.181520441	143562.948704358	97975.4556662264	319641.233958663	182624.986723014	232730.56626673	87517.2947429615	21463.6847681573	103439.159790318	130544.415325588	115102.688254186
41	15575.0100863152	339334.926725387	452503.055932962	264645.582966688	212708.124333744	111684.340337058	243269.757474103	134351.177660083	143885.019256695	98821.1131134071	319848.255483247	183352.576311552	232937.254158619	87639.0155979587	21514.2589546986	103519.971633904	130865.636819991	115488.291899929
42	15556.9206437063	339212.99538269	452503.055932962	264645.582966688	212586.368109169	111623.410527818	244203.017413262	135960.173799724	144287.607447117	99707.0399628346	320055.277007832	183976.224530299	233247.285996452	87801.3100712883	21564.83314124	103762.407164663	131186.858314395	115873.895545671
43	15556.9206437063	339212.99538269	452258.062399701	264402.230706489	212586.368109169	111501.550909338	245136.277352421	137569.169939366	144609.677999454	100552.697410015	320469.320057001	184703.814118836	233660.66178023	87963.6045446178	21645.7518397062	103924.030851835	131443.835509918	116259.499191414
44	15520.7417584883	339212.99538269	452013.06886644	264402.230706489	212464.611884593	111440.621100098	246069.53729158	139178.166079008	145012.266189875	101398.354857196	320676.341581586	185431.403707374	234280.725455896	88125.8990179474	21686.2111889393	104166.466382594	131829.301303202	116645.102837157
45	15514.7119442853	339212.99538269	452013.06886644	264402.230706489	212464.611884593	111379.691290858	247002.797230739	140706.712411667	145414.854380297	102203.74290213	320883.36310617	186158.993295912	235004.133077507	88288.1934912769	21767.1298874055	104328.090069766	132086.278498725	117094.97375719
46	15490.5926874734	338969.132697296	452013.06886644	264402.230706489	212342.855660017	111318.761481618	248039.752718693	142235.258744327	145817.442570719	103049.400349311	321297.40615534	186990.524254241	235727.540699117	88450.4879646065	21817.7040739468	104489.713756938	132407.499993128	117416.310128642
47	15490.5926874734	338969.132697296	452013.06886644	264280.55457639	212464.611884593	111196.901863138	248869.317109057	143683.355270005	146220.03076114	103854.788394245	321711.449204509	187822.05521257	236554.292266672	88653.3560562684	21908.7376097213	104812.961131283	132728.721487532	117866.181048675
48	15472.5032448644	338847.201354599	451768.075333179	264280.55457639	212342.855660017	111196.901863138	249906.272597011	145211.901602664	146622.618951562	104619.907036932	321918.470729094	188653.586170899	237484.387780172	88856.2241479303	21959.3117962627	104974.584818455	133049.942981935	118187.517420127
49	15460.4436164585	338725.270011902	451768.075333179	264158.87844629	212342.855660017	111075.042244658	250943.228084966	146659.998128342	147105.724780068	105425.295081866	322125.492253678	189485.117129228	238414.483293671	89018.5186212599	22020.0008201123	105136.208505628	133371.164476339	118637.388340161
50	15454.4138022555	338725.270011902	451768.075333179	264037.20231619	212221.099435442	111014.112435418	251772.792475329	148027.644847037	147508.31297049	106190.413724554	322539.535302847	190316.648087557	239447.922753115	89221.3867129218	22121.1491931951	105459.455879972	133692.385970742	118958.724711613
51	15442.3541738495	338603.338669205	451523.081799918	264037.20231619	212221.099435442	110953.182626178	252602.356865693	149475.741372715	147991.418798996	106955.532367241	322746.556827432	191044.237676095	240481.362212558	89424.2548045838	22171.7233797364	105621.079567145	134077.851764026	119344.328357355
52	15430.2945454435	338603.338669205	451523.081799918	264037.20231619	212221.099435442	110892.252816938	253743.007902443	150843.38809141	148394.006989417	107680.381607682	323160.599876601	191979.710004216	241514.801672002	89627.1228962458	22232.4124035861	105782.703254317	134399.07325843	119729.932003098
53	15418.2349170376	338603.338669205	451523.081799918	263915.526186091	212099.343210866	110831.323007697	254572.572292806	152211.034810106	148796.595179839	108364.961445876	323574.642925771	192811.240962545	242651.58507739	89829.9909879077	22303.216264744	106105.950628662	134656.050453953	120115.535648841
54	15412.2051028346	338359.475983812	451278.088266657	263793.850055991	212099.343210866	110770.393198457	255505.832231965	153498.231721819	149199.18337026	109089.810686316	323781.664450355	193746.713290665	243788.368482778	89992.2854612372	22404.3646378267	106348.386159421	135041.516247237	120436.872020293
55	15394.1156602256	338237.544641115	451278.088266657	263915.526186091	211977.58698629	110709.463389217	256439.092171124	154785.428633532	149601.771560682	109814.659926757	324195.707499524	194474.302879203	244925.151888167	90235.7271712316	22444.8239870598	106429.198003007	135362.737741641	120822.475666036
