[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 03:20:51
Order : 38
Analyse step ID : 13134

[SAMPLE]
Sample Name : T23-1-2

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
29	12409.3576297471	393909.127793531	535310.870175161	302121.831037374	238033.419045489	125454.477225316	165601.791426318	91187.3914261049	122547.845164348	74740.0105698792	250517.361745504	125096.256492305	169690.759240662	75872.6662815661	13513.422643854	88153.0831331071	121164.747689005	105719.666207781
30	12385.2383729351	393909.127793531	534820.883108639	301878.478777174	237911.662820914	125271.687797595	166742.442463068	93077.9107895928	122789.398078601	75787.0150282935	250310.322603565	125044.284636679	167003.816646108	75710.3718082365	13503.3078065457	88072.0972965126	121485.969183409	106041.002579233
31	12355.0893019202	393421.314632177	534820.883108639	301756.802647075	237789.906596338	125088.898369875	167883.093499818	95048.8777855695	123030.950992854	76834.0194867078	250206.803032596	125200.200203558	164936.937727221	75629.2245715718	13493.1929692374	88072.0972965126	121742.946378932	106490.873499266
32	12330.9700451083	393421.314632177	534575.889575378	301756.802647075	237668.150371762	124906.108942155	169023.744536568	97019.8447815462	123353.021545191	77921.2933473687	250206.803032596	125460.059481689	163283.434592111	75629.2245715718	13483.0781319291	88153.0831331071	122128.412172216	106940.7444193
33	12300.8209740933	393177.4080515	534330.896042117	301513.450386875	237546.394147187	124723.319514435	170268.091122113	98990.8117775228	123836.127373697	79008.5672080297	250206.803032596	125875.834326698	161939.963294834	75669.7981899042	13503.3078065457	88274.5618879988	122513.8779655	107390.615339333
34	12270.6719030784	392689.594890145	534085.902508856	301270.098126676	237424.637922611	124540.530086714	171512.437707658	101002.002589744	124238.715564119	80095.8410686906	250413.842174535	126395.552882961	161009.867781335	75750.9454265689	13513.422643854	88477.026479485	122963.588057665	107840.486259366
35	12252.5824604694	392689.594890145	533840.908975595	301270.098126676	237302.881698035	124296.810849754	172756.784293204	102972.969585721	124641.30375454	81183.1149293516	250517.361745504	127019.215150475	160389.804105669	75913.2398998985	13574.1116677036	88719.9839892685	123349.053850949	108354.624453689
36	12222.4333894545	392445.688309468	533840.908975595	301026.745866477	237181.12547346	124114.021422034	174001.130878749	104984.160397942	125124.409583046	82310.6581922592	250931.440029381	127746.821129242	159976.428321891	76075.534373228	13614.5710169367	88922.4485807547	123863.008241995	108868.762648013
37	12198.3141326425	392445.688309468	533350.921909073	301026.745866477	237059.369248884	123992.161803554	175245.477464294	106955.127393918	125688.033049637	83357.6626506735	251138.479171319	128526.398963636	159769.740430002	76278.40246489	13695.4897154029	89205.8990088355	124312.71833416	109382.900842337
38	12174.1948758306	391957.875148114	533105.928375812	300783.393606278	236937.613024308	123809.372375834	176386.128501044	108885.870573651	126171.138878143	84444.9365113345	251449.037884227	129357.948653655	159769.740430002	76481.2705565519	13766.2935765608	89489.3494369162	124762.428426325	109832.77176237
39	12150.0756190186	391957.875148114	533105.928375812	300661.717476178	236937.613024308	123626.582948113	177837.86618418	110816.613753383	126654.244706649	85451.671567502	251759.596597134	130241.470199301	160079.772267835	76684.1386482139	13786.5232511774	89772.7998649969	125276.38281737	110411.177230984
40	12131.9861764097	391713.968567437	532860.934842551	300540.041346078	236694.100575157	123504.723329633	178978.51722093	112707.133116871	127217.868173239	86498.6760259163	252173.674881011	131124.991744946	160389.804105669	76968.1539765406	13857.3271123353	90015.7573747804	125726.092909535	110925.315425307
41	12113.8967338007	391470.06198676	532615.94130929	300418.365215979	236572.344350581	123321.933901913	180222.863806475	114597.652480359	127700.974001745	87505.4110820838	252587.753164888	132008.513290592	160803.179889446	77211.5956865349	13938.2458108015	90339.7007211584	126175.8030017	111439.453619631
